CellID,AHP,AP height,AP1-AP2int,AP9-AP10int,Adaptation,Halfwidth,Latency,Max dV/dt,Max firing freq,Membrane capacitance,Membrane resistance,Membrane time constant,Min dV/dt,Min latency,Rheobase,Sag Ratio,TH,Vm,dV/dt ratio,mAHP,minISI,staining
161018_4,15.777587890625,47.36328125,88.1,54.8,0.822205551387846,0.723742399559285,323.85,8.575439453125,65.0,53.343275197411,149.154567718505,7.0,-4.119873046875,148.65,160.0,0.891747023512064,-28.076171875,-72.5677490234375,2.08148148148148,4.39453125,7.35,WFS1
161018_5,13.61083984375,51.666259765625,72.75,64.05,0.893928820655966,0.830752842601065,808.05,8.880615234375,65.0,48.6358179696616,202.560424804687,7.95,-3.96728515625,216.25,80.0,0.939422180801491,-34.36279296875,-78.4622192382812,2.23846153846153,0.0,6.1,WFS1
161018_8,8.42285346984863,30.8837866783142,50.6,52.35,1.20344827586206,0.940346961258551,286.7,3.66210913658142,38.0,40.2958008005915,120.92580795288,4.55,-2.04467821121215,182.5,360.0,0.954188466684707,-23.7731914520263,-74.7467041015625,1.79104424182736,1.03759765625,17.6,WFS1
161025_1,19.1040000915527,87.6769981384277,64.5,67.95,0.969329529243937,1.21363476534904,229.3,18.2800273895263,43.0,160.950276008678,130.081224441528,18.45,-3.692626953125,54.95,40.0,0.728184770334098,-35.552978515625,-58.1344570159912,4.95041270661157,0.885009765625,15.45,WFS1
161117_2,21.881103515625,76.96533203125,77.85,52.4,0.928255093002657,0.548802850115484,368.45,19.53125,68.0,115.268992907801,89.6453857421875,9.3,-7.537841796875,161.15,200.0,0.833055091819699,-35.2783203125,-71.7269897460937,2.5910931174089,6.439208984375,11.25,WFS1
161124_3,16.357421875,73.516845703125,75.55,98.8,1.43084721216509,0.669281084322634,301.25,17.15087890625,15.0,91.6647320261438,125.885009765625,10.7,-5.615234375,120.55,200.0,0.901639344262295,-37.04833984375,-71.9001770019531,3.05434782608695,2.227783203125,36.45,WFS1
161124_4,20.44677734375,82.977294921875,96.65,82.2,0.943742824339839,0.668653987929696,255.65,26.67236328125,23.0,145.418189054726,82.3974609375,11.15,-5.7373046875,107.4,160.0,0.743431221020092,-33.447265625,-65.5181884765625,4.64893617021276,3.936767578125,36.65,WFS1
161216_2,15.2587852478027,71.10595703125,44.15,44.7,0.959227467811158,1.43123150909301,233.5,8.30078101158142,116.0,65.1137982385288,358.581495285034,17.35,-2.38037157058715,80.9,40.0,0.90292934397827,-33.538818359375,-66.2414533615112,3.4871786884658,2.74658203125,6.95,WFS1
161216_3,13.24462890625,91.73583984375,60.15,51.05,0.944495837187789,1.32330789007875,203.7,16.815185546875,31.0,148.287219374226,127.372741699218,16.0,-2.960205078125,90.45,120.0,0.651365371439757,-38.2080078125,-66.5480041503906,5.68041237113402,4.7607421875,18.1,WFS1
170125_4,13.73291015625,64.422607421875,61.95,37.9,0.705116279069767,0.750802144121082,874.9,10.25390625,61.0,97.8892151898734,104.904174804687,8.85,-4.8828125,227.65,160.0,0.887480190174326,-34.72900390625,-73.4527587890625,2.1,2.8076171875,9.85,WFS1
170125_5,17.974853515625,76.324462890625,64.15,61.25,0.93440122044241,0.633448279492712,359.2,16.11328125,64.0,108.392875318066,205.99365234375,16.25,-6.439208984375,93.1,40.0,0.884353741496598,-37.322998046875,-58.8027954101562,2.50236966824644,1.0986328125,8.95,WFS1
170125_6,19.366455078125,71.56982421875,57.95,39.95,0.698426573426573,0.655807662700098,502.25,17.7581787109375,56.0,77.83969348659,140.838623046875,9.3,-5.4840087890625,157.25,120.0,0.897660066855232,-32.8582763671875,-73.9288330078125,3.23817473567056,4.11376953125,7.95,WFS1
170126_2,16.11328125,68.634033203125,62.45,55.65,0.941624365482233,0.90095934482867,138.8,15.07568359375,45.0,116.215919655667,154.11376953125,15.45,-3.570556640625,67.6,120.0,0.870726495726495,-31.73828125,-67.9306030273437,4.22222222222222,1.068115234375,10.85,WFS1
170126_3,24.2919921875,78.826904296875,45.35,63.55,1.12081128747795,0.661240370146644,87.15,25.390625,52.0,126.069251908396,154.876708984375,18.9,-5.401611328125,36.1,40.0,0.83874139626352,-29.266357421875,-54.6478271484375,4.70056497175141,1.983642578125,7.7,WFS1
170126_4,15.80810546875,59.5703125,58.45,53.2,0.824167312161115,0.796833917215217,212.35,12.420654296875,52.0,153.783849686847,113.296508789062,14.05,-4.21142578125,107.1,200.0,0.856702619414483,-32.04345703125,-71.9802856445312,2.94927536231884,4.39453125,10.6,WFS1
